Order ID,Date,Customer Segment,Product Category,Product Name,Region,Sales,Profit,Quantity
ORD-111069,2022-01-07,Corporate,Sporting Goods,Golf Club Set,West,4091.18,693.48,8
ORD-114850,2022-01-07,Consumer,Technology,Business Laptop,North,3196.95,935.32,6
ORD-109515,2022-01-07,Corporate,Sporting Goods,Hiking Backpack,West,925.96,246.66,3
ORD-109792,2022-01-07,Consumer,Furniture,Executive Office Chair,East,647.88,-12.52,2
ORD-109166,2022-01-07,Consumer,Health & Beauty,Hair Dryer,South,574.78,143.31,3
ORD-100857,2022-01-07,Corporate,Furniture,Study Desk,East,1917.73,-42.12,2
ORD-107412,2022-01-07,Consumer,Clothing,Wool Sweater,East,363.29,150.54,3
ORD-104901,2022-01-07,Consumer,Clothing,Cotton T-Shirt,West,390.87,125.59,6
ORD-113497,2022-01-07,Consumer,Technology,Mechanical Keyboard,South,419.44,117.02,1
ORD-110021,2022-01-07,Home Office,Office Supplies,Label Printer,West,623.87,123.46,3
ORD-102265,2022-01-08,Consumer,Furniture,Adjustable Standing Desk,West,4462.94,260.27,4
ORD-108628,2022-01-08,Consumer,Office Supplies,Envelopes Box,East,566.56,146.47,5
ORD-107634,2022-01-08,Consumer,Furniture,Filing Cabinet,East,3263.68,-489.11,6
ORD-104635,2022-01-08,Home Office,Health & Beauty,Yoga Mat,East,125.84,44.48,2
ORD-100496,2022-01-08,Consumer,Furniture,Sofa - 3 Seater,West,2592.95,-361.29,3
ORD-103446,2022-01-08,Consumer,Office Supplies,Shredder,West,361.45,110.52,3
ORD-108349,2022-01-08,Corporate,Health & Beauty,Yoga Mat,North,1642.83,327.45,6
ORD-107919,2022-01-08,Consumer,Technology,Laptop Stand,West,2628.7,155.08,4
ORD-107254,2022-01-08,Consumer,Office Supplies,Ballpoint Pen Box,North,292.49,52.45,2
ORD-104468,2022-01-08,Consumer,Sporting Goods,Dumbbell Set,North,69.96,14.07,5
ORD-113701,2022-01-09,Consumer,Sporting Goods,Golf Club Set,North,1031.74,154.08,2
ORD-104406,2022-01-09,Corporate,Office Supplies,Stapler Heavy Duty,South,331.09,41.65,2
ORD-114615,2022-01-09,Consumer,Health & Beauty,Hair Dryer,North,183.1,11.56,8
ORD-101999,2022-01-09,Consumer,Office Supplies,Whiteboard Markers,West,460.53,99.3,7
ORD-110594,2022-01-09,Consumer,Clothing,Running Shoes,North,430.95,125.25,4
ORD-104371,2022-01-09,Corporate,Office Supplies,Sticky Notes Pack,South,156.17,15.85,5
ORD-102902,2022-01-09,Consumer,Sporting Goods,Camping Tent,West,661.13,64.97,2
ORD-109724,2022-01-09,Consumer,Office Supplies,Copy Paper Ream,South,1093.59,205.01,8
ORD-102626,2022-01-09,Consumer,Sporting Goods,Cycling Helmet,South,225.5,23.87,1
ORD-114559,2022-01-09,Corporate,Health & Beauty,Massage Gun,North,730.9,159.68,4
ORD-108500,2022-01-09,Home Office,Office Supplies,Ballpoint Pen Box,West,104.93,25.56,1
ORD-104784,2022-01-10,Consumer,Sporting Goods,Tennis Racket,South,2687.17,355.19,8
ORD-103429,2022-01-10,Corporate,Office Supplies,Label Printer,East,267.37,39.3,7
ORD-106580,2022-01-10,Corporate,Technology,Bluetooth Speaker,West,652.56,25.61,8
ORD-111061,2022-01-10,Consumer,Technology,Laptop Stand,South,2817.9,767.0,2
ORD-112273,2022-01-10,Corporate,Sporting Goods,Basketball,East,2485.37,233.24,6
ORD-103480,2022-01-10,Corporate,Health & Beauty,Massage Gun,North,802.6,119.93,4
ORD-114619,2022-01-10,Corporate,Technology,Business Laptop,South,5143.48,851.46,4
ORD-106400,2022-01-10,Home Office,Clothing,Winter Coat,West,318.1,107.34,8
ORD-109366,2022-01-10,Consumer,Technology,Mechanical Keyboard,West,6023.46,809.71,6
ORD-110208,2022-01-10,Home Office,Health & Beauty,Vitamin Supplements,West,659.39,158.34,8
ORD-111206,2022-01-10,Consumer,Technology,Noise Cancelling Headphones,North,91.46,25.39,1
ORD-112070,2022-01-11,Consumer,Technology,Wireless Mouse,South,2578.99,82.17,4
ORD-111283,2022-01-11,Corporate,Health & Beauty,Yoga Mat,North,514.7,94.06,8
ORD-100099,2022-01-11,Corporate,Furniture,Study Desk,North,2371.39,-331.43,3
ORD-108472,2022-01-11,Home Office,Technology,Bluetooth Speaker,South,2278.43,136.79,2
ORD-113824,2022-01-11,Consumer,Clothing,Cotton T-Shirt,West,185.5,19.37,1
ORD-107516,2022-01-11,Consumer,Furniture,Executive Office Chair,West,2821.48,85.75,8
ORD-102845,2022-01-11,Consumer,Technology,Noise Cancelling Headphones,South,13397.03,341.72,8
ORD-102083,2022-01-11,Corporate,Health & Beauty,Electric Toothbrush,West,935.31,224.2,7
ORD-104439,2022-01-12,Corporate,Office Supplies,Envelopes Box,West,170.74,39.42,2
ORD-113173,2022-01-12,Consumer,Furniture,Ergonomic Mesh Chair,West,3540.97,103.24,5
ORD-111630,2022-01-12,Consumer,Clothing,Running Shoes,South,469.08,51.75,3
ORD-101470,2022-01-12,Home Office,Sporting Goods,Golf Club Set,North,1109.46,98.93,3
ORD-104378,2022-01-12,Consumer,Furniture,Dining Table Set,West,143.34,-8.36,1
ORD-101861,2022-01-12,Corporate,Office Supplies,Ballpoint Pen Box,South,124.72,15.16,1
ORD-105281,2022-01-12,Corporate,Health & Beauty,Massage Gun,South,1690.39,274.26,7
ORD-105667,2022-01-12,Consumer,Health & Beauty,Yoga Mat,East,1397.0,205.08,8
ORD-108571,2022-01-12,Corporate,Furniture,Executive Office Chair,North,1147.88,-53.14,4
ORD-111612,2022-01-12,Consumer,Sporting Goods,Cycling Helmet,North,1701.35,118.05,4
ORD-100420,2022-01-12,Home Office,Sporting Goods,Basketball,West,343.03,98.99,4
ORD-102158,2022-01-13,Consumer,Health & Beauty,Massage Gun,South,1760.12,259.07,8
ORD-100149,2022-01-13,Consumer,Furniture,Adjustable Standing Desk,South,584.43,-79.9,3
ORD-104671,2022-01-13,Consumer,Health & Beauty,Vitamin Supplements,North,113.4,12.58,8
ORD-101587,2022-01-13,Corporate,Furniture,Sofa - 3 Seater,East,2260.23,-25.54,6
ORD-114920,2022-01-13,Consumer,Clothing,Running Shoes,North,719.12,277.72,8
ORD-105293,2022-01-13,Corporate,Health & Beauty,Hair Dryer,South,984.34,165.54,5
ORD-106298,2022-01-13,Consumer,Office Supplies,Shredder,West,1150.84,227.28,5
ORD-103009,2022-01-13,Consumer,Health & Beauty,Electric Toothbrush,West,1371.32,488.96,6
ORD-112237,2022-01-13,Corporate,Sporting Goods,Basketball,East,87.96,5.69,2
ORD-106238,2022-01-13,Home Office,Sporting Goods,Fitness Tracker,North,2028.98,440.02,7
ORD-103324,2022-01-13,Consumer,Technology,USB-C Docking Station,West,3073.22,831.41,3
ORD-101153,2022-01-13,Corporate,Sporting Goods,Camping Tent,North,1746.73,403.95,5
ORD-102481,2022-01-13,Consumer,Sporting Goods,Dumbbell Set,South,304.33,53.22,1
ORD-112659,2022-01-14,Home Office,Office Supplies,Copy Paper Ream,West,24.81,1.64,1
ORD-105156,2022-01-14,Consumer,Sporting Goods,Golf Club Set,West,1087.56,194.31,6
ORD-109714,2022-01-14,Corporate,Health & Beauty,Hair Dryer,South,1676.03,461.63,6
ORD-107333,2022-01-14,Consumer,Office Supplies,Ballpoint Pen Box,West,249.89,45.97,6
ORD-111140,2022-01-14,Consumer,Furniture,Ergonomic Mesh Chair,East,395.02,-10.39,1
ORD-101884,2022-01-14,Corporate,Clothing,Denim Jacket,East,153.1,51.13,1
ORD-110273,2022-01-14,Consumer,Furniture,Bookcase - 5 Shelf,East,6317.89,-387.08,6
ORD-105421,2022-01-14,Corporate,Sporting Goods,Basketball,North,1595.88,416.8,3
ORD-114022,2022-01-15,Corporate,Sporting Goods,Tennis Racket,East,1612.99,408.79,3
ORD-111397,2022-01-15,Home Office,Sporting Goods,Basketball,North,318.81,66.79,3
ORD-111736,2022-01-15,Corporate,Furniture,Ergonomic Mesh Chair,East,353.57,-42.13,3
ORD-104931,2022-01-15,Corporate,Health & Beauty,Electric Toothbrush,South,154.62,46.59,1
ORD-108534,2022-01-15,Corporate,Technology,Bluetooth Speaker,North,1937.12,305.06,2
ORD-113479,2022-01-15,Corporate,Office Supplies,Envelopes Box,North,1329.59,191.73,7
ORD-100632,2022-01-15,Corporate,Technology,Smartphone,West,3806.17,809.88,5
ORD-112638,2022-01-15,Home Office,Clothing,Wool Sweater,East,447.73,137.17,3
ORD-101518,2022-01-15,Consumer,Technology,Bluetooth Speaker,North,3080.75,818.77,3
ORD-103420,2022-01-15,Corporate,Clothing,Denim Jacket,West,1215.37,479.91,6
ORD-104233,2022-01-15,Corporate,Office Supplies,Desk Organizer,West,42.1,8.05,7
ORD-102030,2022-01-15,Corporate,Clothing,Baseball Cap,South,738.85,93.32,4
ORD-109414,2022-01-15,Home Office,Clothing,Denim Jacket,East,225.64,90.62,3
ORD-107617,2022-01-16,Consumer,Sporting Goods,Cycling Helmet,North,1046.21,69.55,7
ORD-108566,2022-01-16,Home Office,Health & Beauty,Skincare Set,East,94.52,26.75,1
ORD-109626,2022-01-16,Corporate,Technology,Business Laptop,South,3530.48,84.81,2
ORD-114816,2022-01-16,Corporate,Sporting Goods,Tennis Racket,East,429.96,58.97,4
ORD-101110,2022-01-16,Home Office,Clothing,Wool Sweater,West,377.98,108.29,4
ORD-109847,2022-01-16,Corporate,Sporting Goods,Basketball,South,332.0,46.37,1
ORD-107380,2022-01-16,Corporate,Health & Beauty,Electric Toothbrush,North,168.71,18.4,1
ORD-105229,2022-01-16,Consumer,Office Supplies,Envelopes Box,West,46.05,4.14,3
ORD-104138,2022-01-16,Corporate,Sporting Goods,Tennis Racket,West,2772.72,491.77,8
ORD-114761,2022-01-16,Consumer,Technology,Noise Cancelling Headphones,West,2939.55,125.08,6
ORD-104785,2022-01-16,Consumer,Technology,27-inch Monitor,South,1168.43,137.09,1
ORD-112567,2022-01-16,Consumer,Furniture,Bookcase - 5 Shelf,East,1726.6,-234.48,6
ORD-104874,2022-01-16,Home Office,Office Supplies,Binder Clips Set,West,1671.98,230.65,7
ORD-106688,2022-01-16,Consumer,Health & Beauty,Yoga Mat,West,103.91,7.92,8
ORD-103502,2022-01-16,Consumer,Office Supplies,Sticky Notes Pack,South,202.17,36.62,6
ORD-111589,2022-01-17,Consumer,Health & Beauty,Hair Dryer,East,555.15,192.92,3
ORD-103796,2022-01-17,Home Office,Health & Beauty,Hair Dryer,East,1477.46,139.64,6
ORD-113732,2022-01-17,Home Office,Office Supplies,Whiteboard Markers,West,893.75,97.0,7
ORD-108779,2022-01-17,Consumer,Clothing,Wool Sweater,West,1065.39,259.04,6
ORD-105253,2022-01-17,Consumer,Clothing,Running Shoes,West,153.96,34.01,5
ORD-112213,2022-01-17,Corporate,Sporting Goods,Cycling Helmet,North,2721.12,244.79,8
ORD-106410,2022-01-17,Consumer,Sporting Goods,Camping Tent,North,987.77,199.91,2
ORD-112770,2022-01-17,Consumer,Office Supplies,Stapler Heavy Duty,North,1022.98,212.56,6
ORD-113693,2022-01-17,Corporate,Office Supplies,Envelopes Box,East,1020.3,336.22,6
ORD-102385,2022-01-17,Consumer,Sporting Goods,Golf Club Set,North,41.78,3.15,3
ORD-110055,2022-01-17,Home Office,Office Supplies,Label Printer,East,980.49,268.09,7
ORD-112710,2022-01-17,Corporate,Sporting Goods,Dumbbell Set,South,1891.38,452.45,4
ORD-102276,2022-01-17,Consumer,Office Supplies,Ballpoint Pen Box,West,27.46,1.85,2
ORD-107978,2022-01-17,Corporate,Technology,Noise Cancelling Headphones,North,1310.71,88.45,2
ORD-101698,2022-01-18,Consumer,Technology,Noise Cancelling Headphones,West,1464.43,99.09,8
ORD-112850,2022-01-18,Consumer,Sporting Goods,Golf Club Set,South,3729.85,534.79,8
ORD-102714,2022-01-18,Consumer,Clothing,Denim Jacket,East,586.84,260.23,6
ORD-114627,2022-01-18,Home Office,Clothing,Running Shoes,North,434.18,61.06,2
ORD-107946,2022-01-18,Consumer,Health & Beauty,Hair Dryer,East,915.37,340.77,4
ORD-100894,2022-01-18,Consumer,Health & Beauty,Digital Scale,South,1885.98,256.21,8
ORD-105944,2022-01-18,Consumer,Office Supplies,Whiteboard Markers,North,299.02,27.37,5
ORD-108537,2022-01-18,Consumer,Health & Beauty,Digital Scale,South,1169.89,147.85,4
ORD-103222,2022-01-18,Corporate,Health & Beauty,Vitamin Supplements,East,165.01,49.03,1
ORD-104963,2022-01-18,Corporate,Office Supplies,Ballpoint Pen Box,East,173.78,35.63,4
ORD-109747,2022-01-18,Consumer,Clothing,Formal Trousers,East,469.98,194.18,3
ORD-114221,2022-01-18,Home Office,Sporting Goods,Cycling Helmet,West,811.19,141.93,4
ORD-109276,2022-01-18,Consumer,Office Supplies,Desk Organizer,East,680.62,180.04,6
ORD-101190,2022-01-18,Consumer,Technology,Wireless Mouse,North,6917.2,193.02,4
ORD-103779,2022-01-19,Consumer,Technology,Smartphone,North,7120.21,1791.81,4
ORD-100148,2022-01-19,Consumer,Health & Beauty,Vitamin Supplements,East,569.05,182.48,7
ORD-101654,2022-01-19,Consumer,Furniture,Adjustable Standing Desk,North,3424.14,102.3,7
ORD-104172,2022-01-19,Home Office,Clothing,Rain Jacket,North,120.58,35.59,8
ORD-109373,2022-01-19,Consumer,Office Supplies,Stapler Heavy Duty,West,284.22,97.15,3
ORD-101992,2022-01-19,Consumer,Office Supplies,Sticky Notes Pack,South,396.2,79.18,3
ORD-109453,2022-01-19,Consumer,Health & Beauty,Digital Scale,South,835.79,151.81,5
ORD-104698,2022-01-20,Home Office,Office Supplies,Stapler Heavy Duty,North,980.43,257.97,4
ORD-107310,2022-01-20,Corporate,Sporting Goods,Fitness Tracker,South,541.26,73.17,2
ORD-113439,2022-01-20,Corporate,Technology,Laptop Stand,South,4476.56,571.81,6
ORD-103609,2022-01-20,Consumer,Health & Beauty,Perfume,East,161.02,21.07,2
ORD-114893,2022-01-20,Corporate,Clothing,Formal Trousers,West,133.27,37.56,4
ORD-109614,2022-01-20,Consumer,Health & Beauty,Yoga Mat,South,766.81,238.32,7
ORD-111503,2022-01-20,Corporate,Technology,USB-C Docking Station,North,8398.87,1636.19,7
ORD-111625,2022-01-20,Consumer,Health & Beauty,Skincare Set,East,1825.56,290.84,7
ORD-102298,2022-01-20,Consumer,Office Supplies,Whiteboard Markers,South,239.82,58.98,5
ORD-110802,2022-01-20,Corporate,Office Supplies,Envelopes Box,East,623.1,60.02,5
ORD-107635,2022-01-21,Consumer,Office Supplies,Sticky Notes Pack,East,619.31,65.5,3
ORD-103454,2022-01-21,Consumer,Health & Beauty,Vitamin Supplements,North,1016.84,396.27,6
ORD-103170,2022-01-21,Consumer,Clothing,Rain Jacket,North,753.41,244.08,4
ORD-113453,2022-01-21,Corporate,Furniture,Adjustable Standing Desk,North,5109.79,126.76,6
ORD-112823,2022-01-21,Consumer,Health & Beauty,Perfume,North,289.6,114.32,3
ORD-110180,2022-01-21,Corporate,Health & Beauty,Digital Scale,East,1135.2,267.92,6
ORD-105113,2022-01-21,Consumer,Furniture,Conference Table,North,2855.82,-91.24,5
ORD-102522,2022-01-21,Corporate,Office Supplies,Shredder,South,489.95,166.91,3
ORD-114338,2022-01-21,Corporate,Technology,Noise Cancelling Headphones,South,4960.83,662.37,4
ORD-100947,2022-01-21,Consumer,Furniture,Bookcase - 5 Shelf,North,849.27,82.28,1
ORD-108364,2022-01-22,Consumer,Sporting Goods,Tennis Racket,East,1118.33,279.51,5
ORD-104254,2022-01-22,Consumer,Technology,Bluetooth Speaker,North,10899.05,641.02,7
ORD-112888,2022-01-22,Consumer,Sporting Goods,Basketball,South,1568.19,362.2,5
ORD-105759,2022-01-22,Consumer,Furniture,Ergonomic Mesh Chair,West,715.96,21.62,1
ORD-102864,2022-01-22,Consumer,Furniture,Bookcase - 5 Shelf,West,603.02,112.61,4
ORD-103690,2022-01-22,Consumer,Technology,Bluetooth Speaker,West,1849.81,528.71,5
ORD-102558,2022-01-22,Consumer,Furniture,Conference Table,East,438.55,37.8,2
ORD-102279,2022-01-22,Consumer,Health & Beauty,Hair Dryer,North,182.2,44.5,1
ORD-114978,2022-01-22,Consumer,Furniture,Executive Office Chair,West,5107.8,485.27,7
ORD-105081,2022-01-22,Corporate,Clothing,Cotton T-Shirt,North,56.08,17.18,1
ORD-113058,2022-01-23,Consumer,Office Supplies,Shredder,East,147.87,12.46,1
ORD-113507,2022-01-23,Consumer,Sporting Goods,Basketball,East,686.01,72.54,5
ORD-104929,2022-01-23,Corporate,Office Supplies,Label Printer,South,221.32,39.55,2
ORD-110555,2022-01-23,Consumer,Health & Beauty,Digital Scale,East,238.6,28.55,1
ORD-101842,2022-01-23,Home Office,Health & Beauty,Massage Gun,West,1461.16,567.7,8
ORD-114329,2022-01-23,Consumer,Sporting Goods,Cycling Helmet,West,525.85,78.31,2
ORD-106634,2022-01-23,Corporate,Sporting Goods,Dumbbell Set,East,356.75,63.86,3
ORD-105300,2022-01-23,Consumer,Furniture,Executive Office Chair,East,436.17,-52.57,3
ORD-108047,2022-01-23,Corporate,Sporting Goods,Tennis Racket,South,138.71,33.38,2
ORD-103088,2022-01-23,Consumer,Office Supplies,Copy Paper Ream,West,143.33,22.96,1
ORD-110278,2022-01-23,Home Office,Technology,Mechanical Keyboard,North,825.88,34.02,1
ORD-109644,2022-01-24,Corporate,Technology,Bluetooth Speaker,South,6292.38,1126.37,7
ORD-107993,2022-01-24,Home Office,Furniture,Bunk Bed Frame,West,4541.7,479.72,8
ORD-111511,2022-01-24,Consumer,Clothing,Denim Jacket,West,888.85,100.69,7
ORD-105925,2022-01-24,Consumer,Furniture,Ergonomic Mesh Chair,West,5348.42,283.77,5
ORD-105808,2022-01-24,Consumer,Technology,Mechanical Keyboard,South,79.35,7.51,1
ORD-110374,2022-01-24,Consumer,Health & Beauty,Electric Toothbrush,North,295.18,24.43,1
ORD-114982,2022-01-24,Consumer,Technology,USB-C Docking Station,North,1671.55,219.86,2
ORD-103436,2022-01-24,Consumer,Office Supplies,Whiteboard Markers,East,570.51,197.03,5
ORD-102745,2022-01-24,Corporate,Technology,27-inch Monitor,North,1975.76,146.43,4
ORD-108679,2022-01-24,Consumer,Health & Beauty,Perfume,South,267.71,52.43,1
ORD-102660,2022-01-24,Home Office,Technology,Bluetooth Speaker,East,2258.39,440.38,6
ORD-108724,2022-01-25,Consumer,Sporting Goods,Basketball,East,201.76,42.23,1
ORD-114407,2022-01-25,Consumer,Sporting Goods,Tennis Racket,South,922.45,189.62,7
ORD-112410,2022-01-25,Consumer,Sporting Goods,Golf Club Set,South,4045.87,1172.94,7
ORD-109322,2022-01-25,Consumer,Health & Beauty,Skincare Set,South,382.54,141.41,6
ORD-100210,2022-01-25,Corporate,Office Supplies,Sticky Notes Pack,East,164.06,19.39,6
ORD-111149,2022-01-25,Corporate,Office Supplies,Binder Clips Set,West,648.69,105.14,3
ORD-101060,2022-01-25,Consumer,Health & Beauty,Yoga Mat,East,212.82,41.83,3
ORD-101264,2022-01-25,Consumer,Office Supplies,Copy Paper Ream,West,35.6,11.46,2
ORD-107393,2022-01-25,Corporate,Office Supplies,Stapler Heavy Duty,West,127.4,27.23,1
ORD-104593,2022-01-26,Consumer,Health & Beauty,Skincare Set,West,294.99,76.43,7
ORD-105426,2022-01-26,Consumer,Health & Beauty,Perfume,North,337.15,122.06,3
ORD-100733,2022-01-26,Consumer,Health & Beauty,Digital Scale,North,442.5,124.79,4
ORD-110786,2022-01-26,Consumer,Furniture,Conference Table,South,2613.61,273.63,8
ORD-106017,2022-01-26,Corporate,Furniture,Bunk Bed Frame,East,1482.85,14.42,2
ORD-109219,2022-01-26,Corporate,Sporting Goods,Tennis Racket,East,704.12,139.85,4
ORD-104026,2022-01-26,Consumer,Office Supplies,Ballpoint Pen Box,East,692.97,143.69,3
ORD-106437,2022-01-26,Corporate,Office Supplies,Binder Clips Set,West,133.01,16.77,2
ORD-107363,2022-01-26,Consumer,Office Supplies,Desk Organizer,South,114.96,24.87,1
ORD-102875,2022-01-27,Consumer,Clothing,Formal Trousers,North,45.18,10.6,3
ORD-102690,2022-01-27,Consumer,Health & Beauty,Vitamin Supplements,West,1278.35,160.13,7
ORD-109875,2022-01-27,Consumer,Health & Beauty,Digital Scale,East,372.28,144.94,5
ORD-102001,2022-01-27,Consumer,Furniture,Bookcase - 5 Shelf,South,2109.57,-25.05,3
ORD-112457,2022-01-27,Consumer,Technology,Smartphone,East,3015.14,621.52,5
ORD-105240,2022-01-27,Consumer,Technology,27-inch Monitor,East,5873.01,194.37,7
ORD-109148,2022-01-27,Corporate,Technology,USB-C Docking Station,North,9794.54,1106.07,8
ORD-100157,2022-01-27,Consumer,Clothing,Denim Jacket,South,873.05,214.46,6
ORD-105837,2022-01-27,Corporate,Furniture,Executive Office Chair,South,1587.21,-53.09,7
ORD-108572,2022-01-27,Consumer,Sporting Goods,Cycling Helmet,West,918.81,82.36,2
